name_a,name_b,token_sort_score,partial_ratio_score,recommended_canonical,match_reason,raw_variants_a,raw_variants_b
ministry of foreign affairs and expatriates,ministry of foreign affairs norway,70.1,92.1,ministry of foreign affairs norway,partial_ratio,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Norway
ministry of foreign affairs and expatriates,ministry of foreign affairs poland,70.1,95.4,ministry of foreign affairs poland,partial_ratio,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Poland
fundacion desarrollo y paz,fundacion esar,70.0,92.9,fundacion desarrollo y paz,partial_ratio,Fundación Desarrollo y Paz,Fundación ESAR
united nations,united nations secretariat,70.0,100.0,united nations,partial_ratio,United Nations,United Nations Secretariat
university of toronto,university of toronto governing council,70.0,100.0,university of toronto,partial_ratio,University of Toronto,University of Toronto Governing Council
federal ministry of the interior austria,federal ministry of the interior building and community germany,69.9,92.1,federal ministry of the interior building and community germany,partial_ratio,Federal Ministry of the Interior - Austria,Federal Ministry of the Interior Building and Community - Germany
department of foreign affairs and trade australia,department of foreign affairs ireland,69.8,94.3,department of foreign affairs ireland,partial_ratio,Department of Foreign Affairs and Trade - Australia,Department of Foreign Affairs - Ireland
handicap international belgium,handicap international luxembourg,69.8,90.9,handicap international belgium,partial_ratio,Handicap International Belgium,Handicap International Luxembourg
ministry of foreign affairs and international trade,ministry of foreign affairs romania,69.8,92.3,ministry of foreign affairs romania,partial_ratio,Ministry of Foreign Affairs and International Trade,Ministry of Foreign Affairs - Romania
united nations children s fund australia committee,united nations children s fund sudan,69.8,94.1,united nations children s fund australia committee,partial_ratio,United Nations Children's Fund - Australia Committee,United Nations Children's Fund Sudan
heavily indebted poor countries,heavily indebted poor countries debt initiative trust fund,69.7,100.0,heavily indebted poor countries debt initiative trust fund,partial_ratio,Heavily Indebted Poor Countries,Heavily Indebted Poor Countries Debt Initiative Trust Fund
ministry of communication and information technology,ministry of telecommunications and information technology,69.7,90.4,ministry of communication and information technology,partial_ratio,Ministry of Communication and Information Technology,Ministry of Telecommunications and Information Technology
ministry of interior and municipalities,ministry of interior france,69.7,92.0,ministry of interior france,partial_ratio,Ministry of Interior and Municipalities,Ministry of Interior - France
building markets,building markets international,69.6,100.0,building markets,partial_ratio,Building Markets,Building Markets International
ministry of foreign affairs and emigrants,ministry of foreign affairs and international trade,69.6,92.1,ministry of foreign affairs and emigrants,partial_ratio,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs and International Trade
ministry of foreign affairs and international cooperation,ministry of foreign affairs estonia,69.6,90.6,ministry of foreign affairs estonia,partial_ratio,Ministry of Foreign Affairs and International Cooperation,Ministry of Foreign Affairs - Estonia
embassy of canada,embassy of canada to timor leste,69.4,100.0,embassy of canada,partial_ratio,Embassy of Canada,Embassy of Canada to Timor-Leste
salesian missions,salesian missions of timor leste,69.4,100.0,salesian missions,partial_ratio,Salesian Missions,Salesian Missions of Timor Leste
ministry of agriculture fisheries and food spain,ministry of agriculture france,69.2,90.9,ministry of agriculture france,partial_ratio,"Ministry of Agriculture, Fisheries, and Food - Spain",Ministry of Agriculture - France
ministry of foreign affairs,ministry of foreign affairs and international trade,69.2,100.0,ministry of foreign affairs and international trade,partial_ratio,Ministry of Foreign Affairs,Ministry of Foreign Affairs and International Trade
ministry of foreign affairs and emigrants,ministry of foreign affairs and international cooperation italy,69.2,92.1,ministry of foreign affairs and international cooperation italy,partial_ratio,Ministry of Foreign Affairs and Emigrants,Ministry of Foreign Affairs and International Cooperation - Italy
ministry of foreign affairs and expatriates,ministry of foreign affairs romania,69.2,92.3,ministry of foreign affairs romania,partial_ratio,Ministry of Foreign Affairs and Expatriates,Ministry of Foreign Affairs - Romania
plan international denmark,plan international myanmar,69.2,90.2,plan international denmark,partial_ratio,Plan International Denmark,Plan International Myanmar
plan international finland,plan international ireland,69.2,92.3,plan international finland,partial_ratio,Plan International Finland,Plan International Ireland
ministry of finance drc,ministry of finance sierra leone,69.1,93.0,ministry of finance sierra leone,partial_ratio,Ministry of Finance - DRC,Ministry of Finance Sierra Leone
national democratic institute,national democratic institute for international affairs,69.0,100.0,national democratic institute,partial_ratio,National Democratic Institute,National Democratic Institute for International Affairs
war child holland,war child uk,69.0,90.9,war child uk,partial_ratio,War Child Holland,War Child UK
ministry of finance and economic planning,ministry of finance drc,68.8,93.0,ministry of finance and economic planning,partial_ratio,Ministry of Finance and Economic Planning,Ministry of Finance - DRC
ministry of irrigation,ministry of irrigation and water resources,68.8,100.0,ministry of irrigation and water resources,partial_ratio,Ministry of Irrigation,Ministry of Irrigation and Water Resources
ministry of transport and public works,ministry of transportation,68.8,92.0,ministry of transport and public works,partial_ratio,Ministry of Transport and Public Works,Ministry of Transportation
union communale des societes cooperatives des producteurs de cereales jamajigi de fatine,union des societes cooperatives des producteur,68.7,93.5,union des societes cooperatives des producteur,partial_ratio,"Union Communale des Societes Cooperatives des Producteurs de Cereales ""Jamajigi"" de Fatine",Union des sociétés coopératives des producteur
world vision,world vision osterreich,68.6,100.0,world vision,partial_ratio,World Vision International,World Vision Österreich
international development group,international development law organization,68.5,91.2,international development law organization,partial_ratio,International Development Group,International Development Law Organization
international development group,international development support services,68.5,93.3,international development group,partial_ratio,International Development Group,International Development Support Services Pty Ltd
universita degli studi di trento,universita degli studi di urbino carlo bo,68.5,90.6,universita degli studi di trento,partial_ratio,Università degli Studi di Trento,Università degli Studi di Urbino Carlo Bo
government of benin,government of niger,68.4,91.4,government of benin,partial_ratio,Government of Benin,Government of Niger
government of ghana,government of haiti,68.4,91.4,government of haiti,partial_ratio,Government of Ghana,Government of Haiti
ministry of social welfare,ministry of social welfare relief and resettlement,68.4,100.0,ministry of social welfare,partial_ratio,Ministry of Social Welfare,"Ministry of Social Welfare, Relief and Resettlement"
government of haiti,government of thailand,68.3,91.9,government of haiti,partial_ratio,Government of Haiti,Government of Thailand
ministry of agriculture forestry and fisheries japan,ministry of agriculture france,68.3,93.1,ministry of agriculture france,partial_ratio,"Ministry of Agriculture, Forestry and Fisheries - Japan",Ministry of Agriculture - France
ministry of education and religious affairs greece,ministry of education and sports,68.3,91.5,ministry of education and sports,partial_ratio,Ministry of Education and Religious Affairs - Greece,Ministry of Education and Sports
government of haiti,government of timor leste,68.2,91.4,government of haiti,partial_ratio,Government of Haiti,Government of Timor-Leste
international humanitarian city united arab emirates,international humanitarian relief,68.2,90.3,international humanitarian city united arab emirates,partial_ratio,International Humanitarian City - United Arab Emirates,International Humanitarian Relief
ministry of education and scientific research romania,ministry of education and sports,68.2,91.5,ministry of education and scientific research romania,partial_ratio,Ministry of Education and Scientific Research - Romania,Ministry of Education and Sports
ministry of foreign affairs and international trade,ministry of foreign affairs greece,68.2,90.3,ministry of foreign affairs greece,partial_ratio,Ministry of Foreign Affairs and International Trade,Ministry of Foreign Affairs - Greece
