name_a,name_b,token_sort_score,partial_ratio_score,accept,canonical_name,review_note,raw_variants_a,raw_variants_b
community of andalucia spain,community of cataluna spain,87.3,85.2,no,community of andalucia spain,coder_rejected,Community of Andalucía - Spain,Community of Cataluña - Spain
community of asturias spain,community of cantabria spain,87.3,85.2,no,community of asturias spain,coder_rejected,Community of Asturias - Spain,Community of Cantabria - Spain
community of cantabria spain,community of cataluna spain,87.3,85.2,no,community of cataluna spain,coder_rejected,Community of Cantabria - Spain,Community of Cataluña - Spain
international development group,international services development group,87.3,75.5,no,international services development group,coder_rejected,International Development Group,International Services Development Group
medecins sans frontieres,medecins sans frontieres canada,87.3,100.0,no,medecins sans frontieres,differentiating_word,Médecins Sans Frontieres,Médecins Sans Frontières Canada
ministry of foreign affairs japan,ministry of foreign affairs kazakhstan,87.3,92.3,no,ministry of foreign affairs japan,country_name_swap,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - Kazakhstan
ministry of interior slovakia,ministry of interior spain,87.3,91.7,no,ministry of interior spain,country_name_swap,Ministry of Interior - Slovakia,Ministry of Interior - Spain
save the children federation,save the children nederland,87.3,90.2,no,save the children federation,country_name_swap,Save the Children Federation,Save the Children Nederland
government of gambia,government of ghana,87.2,91.4,no,government of ghana,country_name_swap,Government of Gambia,Government of Ghana
government of guinea,government of nepal,87.2,84.8,no,government of nepal,country_name_swap,Government of Guinea,Government of Nepal
government of israel,government of italy,87.2,88.2,no,government of italy,country_name_swap,Government of Israel,Government of Italy
government of sudan,government of sweden,87.2,88.2,no,government of sudan,country_name_swap,Government of Sudan,Government of Sweden
government of sweden,government of yemen,87.2,84.8,no,government of yemen,country_name_swap,Government of Sweden,Government of Yemen
ministry of agriculture and food security,ministry of agriculture and food security south sudan,87.2,100.0,no,ministry of agriculture and food security,differentiating_word,Ministry of Agriculture and Food Security,Ministry of Agriculture and Food Security (South Sudan)
ministry of education science and technology,ministry of science and technology,87.2,83.3,no,ministry of education science and technology,coder_rejected,"Ministry of Education, Science and Technology",Ministry of Science and Technology
cooperazione internazionale,cooperazione internazionale sud sud,87.1,100.0,no,cooperazione internazionale,coder_rejected,Cooperazione Internazionale,Cooperazione Internazionale Sud Sud
embassy of the republic of poland in amman,embassy of the republic of poland in beirut,87.1,93.7,no,embassy of the republic of poland in beirut,country_name_swap,Embassy of the Republic of Poland in Amman,Embassy of the Republic of Poland in Beirut
ministry of foreign affairs,ministry of foreign affairs belgium,87.1,100.0,no,ministry of foreign affairs belgium,differentiating_word,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Belgium
ministry of foreign affairs,ministry of foreign affairs denmark,87.1,100.0,no,ministry of foreign affairs denmark,differentiating_word,Ministry of Foreign Affairs,Ministry of Foreign Affairs - Denmark
