name_a,name_b,token_sort_score,partial_ratio_score,accept,canonical_name,review_note,raw_variants_a,raw_variants_b
universite de moncton,universite de montreal service de l admission et du recrut,48.1,92.3,no,universite de moncton,word_count_mismatch,Université de Moncton,Universite De Montreal Service de L'Admission et du Recrut
asociacion de regiones fronterizas de europa,asociacion deme,47.5,92.9,no,asociacion deme,word_count_mismatch,Asociación de Regiones Fronterizas de Europa,Asociación Demé
united nations,united nations department of peace operations,47.5,100.0,no,united nations,word_count_mismatch,United Nations,United Nations Department of Peace Operations
united nations,united nations high commissioner for refugees,47.5,100.0,no,united nations,word_count_mismatch,United Nations,United Nations High Commissioner for Refugees
united nations,united nations office for disarmament affairs,47.5,100.0,no,united nations,word_count_mismatch,United Nations,United Nations Office for Disarmament Affairs
united nations,united nations stabilization mission in haiti,47.5,100.0,no,united nations,word_count_mismatch,United Nations,United Nations Stabilization Mission in Haiti
united nations voluntary trust fund on contemporary forms of slavery,united nations volunteers,47.3,91.7,no,united nations volunteers,word_count_mismatch,United Nations Voluntary Trust Fund on Contemporary Forms of Slavery,United Nations Volunteers
canadian association for mine and explosive ordnance security,canadian bar association,47.1,90.9,no,canadian bar association,word_count_mismatch,Canadian Association for Mine and Explosive Ordnance Security,Canadian Bar Association
asociacion de mujeres indigenas chagra de la vida,asociacion deme,46.9,93.3,no,asociacion de mujeres indigenas chagra de la vida,word_count_mismatch,Asociación de Mujeres Indígenas Chagra de la Vida,Asociación Demé
european commission,european commission directorate general for external relations,46.9,100.0,no,european commission,word_count_mismatch,European Commission,European Commission Directorate-General for External Relations
alternative energy promotion centre,alternatives,46.8,95.7,no,alternatives,word_count_mismatch,Alternative Energy Promotion Centre,Alternatives
european union,european union emergency trust fund for africa,46.7,100.0,no,european union,word_count_mismatch,European Union,European Union Emergency Trust Fund for Africa
ministry of education,ministry of education life long learning and religious affairs greece,46.7,100.0,no,ministry of education life long learning and religious affairs greece,differentiating_word,Ministry of Education,"Ministry of Education, Life Long Learning, and Religious Affairs - Greece"
united nations,united nations central emergency response fund,46.7,100.0,no,united nations,word_count_mismatch,United Nations,United Nations Central Emergency Response Fund
united nations,united nations children s fund spain committee,46.7,100.0,no,united nations,differentiating_word,United Nations,United Nations Children's Fund - Spain Committee
united nations,united nations multi partner trust fund office,46.7,100.0,no,united nations,word_count_mismatch,United Nations,United Nations Multi-Partner Trust Fund Office
ministry of environment,ministry of environment territory planning and regional development portugal,46.5,100.0,no,ministry of environment,differentiating_word,Ministry of Environment,"Ministry of Environment, Territory Planning and Regional Development - Portugal"
united nations,united nations children s fund canada committee,45.9,100.0,no,united nations,differentiating_word,United Nations,United Nations Children's Fund - Canada Committee
fundacion esar,fundacion escuela nueva volvamos a la gente,45.6,92.3,no,fundacion escuela nueva volvamos a la gente,word_count_mismatch,Fundación ESAR,Fundación Escuela Nueva Volvamos a la Gente
european union,european union capacity building mission in mali,45.2,100.0,no,european union,word_count_mismatch,European Union,European Union Capacity Building Mission in Mali
united nations,united nations children s fund belgium committee,45.2,100.0,no,united nations,differentiating_word,United Nations,United Nations Children's Fund - Belgium Committee
united nations,united nations department of safety and security,45.2,100.0,no,united nations,word_count_mismatch,United Nations,United Nations Department of Safety and Security
united nations,united nations development programme south sudan,45.2,100.0,no,united nations,differentiating_word,United Nations,United Nations Development Programme South Sudan
united nations,united nations development programme timor leste,45.2,100.0,no,united nations,word_count_mismatch,United Nations,United Nations Development Programme Timor Leste
united nations,united nations integrated mission in timor leste,45.2,100.0,no,united nations,word_count_mismatch,United Nations,United Nations Integrated Mission in Timor-Leste
asociacion de productores indigenas y campesinos,asociacion deme,44.4,92.9,no,asociacion de productores indigenas y campesinos,word_count_mismatch,Asociación de Productores Indígenas y Campesinos,Asociación Demé
european union,european union border assistance mission to libya,44.4,100.0,no,european union,word_count_mismatch,European Union,European Union Border Assistance Mission to Libya
united nations,united nations institute for disarmament research,44.4,100.0,no,united nations,word_count_mismatch,United Nations,United Nations Institute for Disarmament Research
asociacion pro fundacion para las ciencias sociales,asociacion proyde,44.1,90.3,no,asociacion proyde,word_count_mismatch,Asociación Pro-Fundación para las Ciencias Sociales,ASOCIACIÓN PROYDE
asociacion de victimas por la paz y el desarrollo,asociacion deme,43.8,92.9,no,asociacion deme,word_count_mismatch,Asociación de Victimas por la Paz y el Desarrollo,Asociación Demé
fundacion acodea,fundacion cideal de cooperacion e investigacion de espana,43.8,90.3,no,fundacion cideal de cooperacion e investigacion de espana,word_count_mismatch,Fundación Acodea,Fundación CIDEAL de Cooperación e Investigación de España
united nations,united nations children s fund australia committee,43.8,100.0,no,united nations,differentiating_word,United Nations,United Nations Children's Fund - Australia Committee
united nations,united nations conference on trade and development,43.8,100.0,no,united nations,word_count_mismatch,United Nations,United Nations Conference on Trade and Development
united nations,united nations development programme guinea bissau,43.8,100.0,no,united nations,word_count_mismatch,United Nations,United Nations Development Programme Guinea-Bissau
united nations,united nations industrial development organization,43.8,100.0,no,united nations,word_count_mismatch,United Nations,United Nations Industrial Development Organization
united nations,united nations institute for training and research,43.8,100.0,no,united nations,word_count_mismatch,United Nations,United Nations Institute for Training and Research
universite de moncton,universite de montreal office of research services and development,43.7,92.3,no,universite de montreal office of research services and development,word_count_mismatch,Université de Moncton,Université de Montréal - Office of Research Services and Development
