raw_name,cleaned_name
Incheon Metropolitan City Office of Education - South Korea,incheon metropolitan city office of education south korea
Indiana University,indiana university
IndyAct,indyact
Iniciativas de Cooperación Internacional para el Desarrollo,iniciativas de cooperacion internacional para el desarrollo
Initiative Prospective Agricole et Rurale,initiative prospective agricole et rurale
Institut de Sciences de Technologies et des Etudes Avancées d'Haiti,institut de sciences de technologies et des etudes avancees d haiti
Institut du Fédéralisme,institut du federalisme
Institut international d'Ingenierie de l'Eau et de l'Environnement,institut international d ingenierie de l eau et de l environnement
Institute for Research on Innovation and Services for Development,institute for research on innovation and services for development
Institute of International Education,institute of international education
Instituto Nacional de Salud,instituto nacional de salud
Instituto Veredas,instituto veredas
"Integra, LLC",integra
"Intelligent Decisions, Inc.",intelligent decisions
International Aid Services,international aid services
International Center for Journalists,international center for journalists
International Center for Religion and Diplomacy,international center for religion and diplomacy
International Commission for Human Development,international commission for human development
International Criminal Court,international criminal court
International Development & Relief Foundation,international development relief foundation
International Executive Service Corps,international executive service corps
International Health Resources Corp,international health resources
International Humanitarian Relief,international humanitarian relief
International Institute of Rural Reconstruction,international institute of rural reconstruction
"International Institute on Race, Equality, and Human Rights",international institute on race equality and human rights
International Petroleum Associates Norway AS,international petroleum associates norway as
International Records Management Trust,international records management trust
Interserve,interserve
Investmend Fund for Developing Countries - Denmark,investmend fund for developing countries denmark
IPA DUMMY,ipa dummy
Irrawaddy,irrawaddy
Isha Development Committee,isha development committee
Istituto Oikos,istituto oikos
Italian Consulate General of Benghazi,italian consulate general of benghazi
Italian Society for International Organizations,italian society for international organizations
Iteka Kuri Bose,iteka kuri bose
Jaime Arteaga y Asociados,jaime arteaga y asociados
JBS International,jbs international
Jeunesse pour la Culture et le Développement Humain RUCITEME-Culture,jeunesse pour la culture et le developpement humain ruciteme culture
Jordan Red Crescent Society,jordan red crescent society
Jouzour Loubnan,jouzour loubnan
Justice Leaders Foundation,justice leaders foundation
Kansas State University,kansas state university
Kariba,kariba
Kenana Sugar Company Ltd,kenana sugar company
Kfarmatta,kfarmatta
Kofi Annan Foundation,kofi annan foundation
Kolye East Development Association,kolye east development association
Komyuniti,komyuniti
Kongelige Veterinær- og Landbohøjskole,kongelige veterinær og landbohøjskole
Korerikawa Cooperative,korerikawa cooperative
Kouraj Pou Pwoteje Dwa Moun,kouraj pou pwoteje dwa moun
Kuru-ko Wate Self-Help,kuru ko wate self help
L'Associazione Amici del Senatore Giovanni Spagnolli e Roberto Bazzoni OdV,l associazione amici del senatore giovanni spagnolli e roberto bazzoni odv
l’Association des Ecoles à programme Belge à l’Etranger,l’association des ecoles a programme belge a l’etranger
Land O'Lakes Venture37,land o lakes venture37
Le Centre Parlementaire,le centre parlementaire
Lebanese Institute for Democracy and Human Rights,lebanese institute for democracy and human rights
Lebanese League for Women in Business,lebanese league for women in business
Liban Jazz,liban jazz
Libyan Center for Freedom of Press,libyan center for freedom of press
Life & Peace Institute,life peace institute
Live To Give,live to give
Local organiztions,local organiztions
Lomma Maskinteknik AB,lomma maskinteknik ab
LULOMEDIA SAS,lulomedia sas
MADRE,madre
Magyar Máltai Szeretetszolgálat,magyar maltai szeretetszolgalat
Mallorca Amiga,mallorca amiga
Mangalla Women Development Association,mangalla women development association
MARCH,march
Marib University Students Forum,marib university students forum
Max Planck Institute for International Peace and Rule of Law,max planck institute for international peace and rule of law
McMaster University,mcmaster university
Media for Business Development Foundation,media for business development foundation
Media Foundation for Peace and Development,media foundation for peace and development
Medici dell'Alto Adige per il Terzo Mondo,medici dell alto adige per il terzo mondo
Mekong Institute,mekong institute
Mental Scenes Production,mental scenes production
Mibanco,mibanco
Ministére de l'Economie et des Finances,ministere de l economie et des finances
Ministère de l'Environnement,ministere de l environnement
Ministère de l'intérieur et des Collectivités Territoriales,ministere de l interieur et des collectivites territoriales
Ministère de la Promotion de la Femme de l'Enfant et de la Famille,ministere de la promotion de la femme de l enfant et de la famille
Ministere des Maliens de l'Exterior et de l'integration Africaine,ministere des maliens de l exterior et de l integration africaine
Ministère du Commerce et de l'Industrie,ministere du commerce et de l industrie
Ministério da Educação Nacional e Ensino Superior,ministerio da educacao nacional e ensino superior
Ministerio de Cultura de Colombia,ministerio de cultura de colombia
Ministerio de Educación Nacional,ministerio de educacion nacional
Ministerio de Salud y Protección Social,ministerio de salud y proteccion social
Ministry of Agriculture - Hungary,ministry of agriculture hungary
Ministry of Agriculture and Food Security (South Sudan),ministry of agriculture and food security south sudan
"Ministry of Agriculture, Forestry and Fisheries - Japan",ministry of agriculture forestry and fisheries japan
Ministry of Civil Service and Administrative Reform,ministry of civil service and administrative reform
Ministry of Climate and Environment - Norway,ministry of climate and environment norway
Ministry of Foreign Affairs and Expatriates,ministry of foreign affairs and expatriates
Ministry of Foreign Affairs and Trade - Hungary,ministry of foreign affairs and trade hungary
Ministry of Health and Care Services - Norway,ministry of health and care services norway
Ministry of Health and Public Hygiene - Burkina Faso,ministry of health and public hygiene burkina faso
Ministry of Higher Education and Scientific Research - Sudan,ministry of higher education and scientific research sudan
Ministry of Housing and Urban Planning,ministry of housing and urban planning
Ministry of Public Works - Kuwait,ministry of public works kuwait
Ministry of Science and Higher Education,ministry of science and higher education
Ministry of the Displaced,ministry of the displaced
Ministry of Transport and Roads,ministry of transport and roads
Món-3,mon 3
Moviired,moviired
Movimento Sviluppo e Pace,movimento sviluppo e pace
MSI Australia,msi australia
Mundukide Fundazioa,mundukide fundazioa
Municipality of Milan - Italy,municipality of milan italy
Myanmar Institute for Integrated Development,myanmar institute for integrated development
Myanmar Institute of Gender Studies,myanmar institute of gender studies
Näringslivets Internationella Råd,naringslivets internationella rad
National Audubon Society,national audubon society
