tag,seed,dep_var,window,estimate,std_error,p_value,n,n_states,lb,ub
43,166,density,+-2,2.229908587945341e-4,0.0043929040252759155,0.9600745516426598,95,19,-0.008387101030746259,0.008833082748335329
43,166,density,+-3,-8.956465190770267e-4,0.0054582055514672614,0.871487432584996,133,19,-0.011593729399952858,0.009802436361798806
43,166,density,+-4,-0.0016880228835806084,0.00635502291211517,0.7935500229123544,171,19,-0.014143867791326342,0.010767822024165125
43,166,density,+-5,-0.003490971782951388,0.006955679950312736,0.6218299681579372,209,19,-0.01712410448556435,0.010142160919661573
43,166,density,all,-0.016389856716635624,0.011872508016976506,0.1843401423114124,304,19,-0.039659972429909575,0.006880258996638328
44,167,density,+-2,-3.8480359672486133e-4,0.003796506728557685,0.9203873614602006,95,19,-0.007825956784697923,0.007056349591248201
44,167,density,+-3,-8.948975600542018e-4,0.005076977190917278,0.8620530928175736,133,19,-0.010845772854252067,0.009055977734143664
44,167,density,+-4,-0.002545361478401633,0.006059038777051629,0.6793893273779718,171,19,-0.014421077481422826,0.009330354524619559
44,167,density,+-5,-0.004427913917068271,0.006482304474194917,0.5032561156939674,209,19,-0.01713323068649031,0.008277402852353767
44,167,density,all,-0.015111913605802697,0.010086034018937203,0.15138767883657642,304,19,-0.03488054028291962,0.004656713071314222
45,168,density,+-2,-2.763155388150798e-4,0.004261234357886597,0.9490129326541386,95,19,-0.008628334880272811,0.00807570380264265
45,168,density,+-3,-3.4141829165600877e-4,0.005052189816148562,0.9468663528265412,133,19,-0.01024371033130719,0.009560873747995174
45,168,density,+-4,-0.0014735240191931702,0.006040254312244102,0.8100279081549547,171,19,-0.013312422471191611,0.010365374432805271
45,168,density,+-5,-0.0026150412343943245,0.006702818299961917,0.7010108529767406,209,19,-0.015752565102319684,0.010522482633531033
45,168,density,all,-0.013094475856308971,0.009995260260557809,0.20664592426841358,304,19,-0.032685185967002275,0.006496234254384335
46,169,density,+-2,0.001127927085554186,0.004192564165064018,0.7909657948658333,95,19,-0.00708949867797129,0.009345352849079662
46,169,density,+-3,-0.0011913547030528958,0.005017272029953556,0.8149888417669038,133,19,-0.011025207881761865,0.008642498475656074
46,169,density,+-4,-0.0031667995616702317,0.006034270152834993,0.6061245294124283,171,19,-0.014993969061226818,0.008660369937886356
46,169,density,+-5,-0.005106726356519125,0.006202249704185878,0.4210749589570374,209,19,-0.017263135776723445,0.007049683063685196
46,169,density,all,-0.018045852521851345,0.011618765790912493,0.13778940080625582,304,19,-0.04081863347203983,0.004726928428337142
